GO ID:,FO Reference:,Primary Category:,Secondary Category:,Addenda Available:,Close Date & Time:,Selection Process:,Publish Date:,Other Instructions:,Estimated Grant Value (AUD):,Location:,Eligibility:,Description:,Grant Activity Timeframe:,Co-sponsored with:,Agency:,Internal Reference ID:,Instructions for Application Submission:,Total Amount Available (AUD):
GO7795,P7099,231012 - Health Promotion and Prevention Programs,,,2-Sep-2025 2:00 pm (ACT Local Time) Show close time for other time zones,Closed Non-Competitive,26-Aug-25,"Applicant/s should follow the below instructions to upload their application: Filename(s) do not exceed 100 characters. Any file type can be submitted to GrantConnect. Refrain from using special characters. These include, but are not limited to, colon, forward and back slash, question marks, en and em dash. A maximum of five (5) separate files can be submitted at one time. Do not include macros or password protect applications or attachments.",,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","To be eligible, you must be the listed organisation and have received an invitation to apply from the department. Eligible Organisation: Pelvic Pain Foundation of Australia Limited (PPFA) ABN: 98 168 910 316 The eligible organisation was determined, as PPFA has been assessed to have: Extensive experience in delivering endometriosis and pelvic pain education activities nationally; Demonstrated that the organisation has the infrastructure and relationships needed to support the successful delivery of the grant activities in schools and communities; Demonstrated that the organisation currently possesses the experience, knowledge and capability to successfully deliver the grant objectives and outcomes; Demonstrated previous experience in successfully delivering pelvic pain awareness and education activities within a variety of settings.","The purpose of this grant opportunity is to support continuation of the Periods, Pain and Endometriosis Program (PPEP Talk), by enabling the Pelvic Pain Foundation of Australia to: Deliver an endometriosis and pelvic pain education program to high schools nationally, using face-to-face and online delivery models Provide students and teachers with resources and information concerning menstrual symptoms, endometriosis and other pelvic pain conditions Develop and deliver endometriosis and pelvic pain education programs that are designed to meet the needs of Australian communities The objectives of the grant opportunity are: Develop and deliver education and awareness activities focused on endometriosis, periods and pelvic pain through a national school-based education program Engage with participants to increase perceived levels of knowledge of endometriosis and pelvic pain, to assist students and teachers in seeking help Promote continued discussions between students and parents and/or teachers on menstrual symptoms, endometriosis and pelvic pain The intended outcomes of the grant opportunity are: Support students and teachers to have an increased knowledge Support schools to reduce school absenteeism attributed to endometriosis and pelvic pain Improve teacher and staff confidence in assisting students in managing distressing menstrual symptoms To view the grant opportunity documents, please select the red "" Grant Opportunity Documents "" button on the left-hand side.",,,"Department of Health, Disability and Ageing",P7099,"Submit the completed application form and all necessary attachments by the closing date and time via the red Submit Application button on the left-hand side. You should keep a copy of your application and any supporting documents. Registered users will receive an automated email notification acknowledging the receipt of the submission. If you do not receive an automated email notification within 24 hours of submission, please email Grant.ATM@health.gov.au . For technical assistance when submitting your application through GrantConnect please contact the GrantConnect Helpdesk: Phone: 1300 484 145 Email: GrantConnect@finance.gov.au","$1,250,000.00"
GO7797,P7551,231019 - Reproductive Health,,,4-Sep-2025 2:00 pm (ACT Local Time) Show close time for other time zones,Closed Non-Competitive,28-Aug-25,"Applicant/s should follow the below instructions to upload their application: Filename(s) do not exceed 100 characters. Any file type can be submitted to GrantConnect. Refrain from using special characters. These include, but are not limited to, colon, forward and back slash, question marks, en and em dash. A maximum of five (5) separate files can be submitted at one time. Do not include macros or password protect applications or attachments.",,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","To be eligible, you must be the listed organisation and have received an invitation to apply from the department. The listed organisation is Healthdirect Australia Ltd - 28 118 291 044.","This grant opportunity was announced as part of the 2024-25 Budget which allocated funds to support the Government’s commitment to women’s health, which included a component to support families experiencing miscarriage. The purpose of this grant opportunity is to fund Healthdirect Australia to compile and/or develop and host a miscarriage information suite for parents and families. Following miscarriage, people generally report a lack of information and support, poor access to follow-up care and limited referral to support services. An information suite will be compiled and/or developed for people and families who have experienced miscarriage and available on the Pregnancy, Birth and Baby (PBB) website for individuals, GPs, medical services and hospitals around the country. It will contain evidence-based information, acknowledgement, and advice regarding miscarriage, including what to expect following miscarriage, how to care for yourself, physical recovery and where to find support. A recent gap analysis was commissioned by the department to examine current knowledge and resource gaps, with a focus on priority populations. Consultation findings were informed by market research including a desktop analysis and interviews with healthcare professionals and miscarriage organisations. To view the grant opportunity documents, please select the red "" Grant Opportunity Documents "" button on the left-hand side.",,,"Department of Health, Disability and Ageing",P7551,"Submit the completed application form and all necessary attachments by the closing date and time via the red Submit Application button on the left-hand side. You should keep a copy of your application and any supporting documents. Registered users will receive an automated email notification acknowledging the receipt of the submission. If you do not receive an automated email notification within 24 hours of submission, please email Grant.ATM@health.gov.au . For technical assistance when submitting your application through GrantConnect please contact the GrantConnect Helpdesk: Phone: 1300 484 145 Email: GrantConnect@finance.gov.au","$276,000.00"
GO7801,,371003 - Overseas Advocacy,371004 - Public Diplomacy,View Addenda,4-Sep-2025 5:00 pm (ACT Local Time) Show close time for other time zones,Open Competitive,8-Aug-25,,"From $10,000.00 to $50,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories, Overseas","Eligibility criteria is listed in Appendix B of the Grant Guidelines. Applicants must: complete the Grant Eligibility Checklist at Appendix B. For Stage Two applications, applicants must also submit all of the attachments listed in Section 7.1 of the Guidelines. Applicants must be one of the following entity types: an Australian entity with an Australian Business Number (ABN), Australian Company Number (ACN), or Indigenous Corporation Number (ICN); an Australian consortium with a lead organisation; an Australian registered charity or not-for-profit organisation; an Australian local government body; Australian State/Territory government body; a corporate Commonwealth entity; an Australian statutory authority; an Australian or permanent resident of Australia; a citizen or organisation from one of the following countries in Latin America: Argentina, Brazil, Chile, Colombia, Costa Rica, Cuba, Ecuador, El Salvador, Guatemala, México, Panamá, Perú and Uruguay; or a well-established organisation in a Latin American country with a business purpose to advocate for Australian business, education and/or cultural interests.","The Council on Australia Latin America Relations (COALAR) Grants Program is part of the Australian Government’s International Relations Grants Program. This annual grant program offers funding to organisations and individuals to support projects or activities which advance Australia's engagement with Latin America, including exchanges, partnerships and other collaborations aligned with COALAR’s strategic priority areas and goals. COALAR’s Strategic Priority Areas are: 1 - Culture and Entrepreneurship; 2 - Education and Research; 3 - Environment and Energy Transition; 4 - First Nations; and 5 - Mining, Mining Equipment, Technology and Services (METS), and Resources. COALAR’s Strategic Goals are: Goal 1 - Raise awareness of COALAR and Latin America-Australia relations; Goal 2 - Strengthen commercial ties; Goal 3 - Expand social and cultural connections; and Goal 4 -Foster and promote gender equality and women’s leadership. Applications will be prioritised for projects taking place in the following countries: Argentina, Australia, Brazil, Chile, Colombia, Costa Rica, Cuba, Ecuador, El Salvador, Guatemala, México, Panamá, Perú and Uruguay. Grants between $10,000 to $50,000, from a total funding pool of up to $300,000, is available to support projects for a maximum of 12 months. Grant projects must commence prior to 30 June 2026. The grant round will be conducted in a two-stage process with the first stage being an Expression of Interest (EOI). If successful at Stage One, applicants will be invited to apply for Stage Two which will require submission of a full grant application.",,,Department of Foreign Affairs and Trade,,"To apply, you must: complete the online Stage One EOI application form on the SmartyGrants portal and submit this via the SmartyGrants portal by 17:00 (5pm) Australian Eastern Standard Time by 04 September 2025. If successful, you will be invited during the week of 1 October 2025 to submit a Stage Two application which will involve providing information as set out in the COALAR Grant Guidelines (Sections 4 and 6) and provide all necessary attachments. All documents will need to be written in English. Stage Two applications are to be submitted through the SmartyGrants portal by 17:00 (5pm) Australian Eastern Daylight Time on 3 November 2025. You can view and print a copy of your submitted application on the portal, for your own records.","$300,000.00"
GO7813,,361003 - Veterans,,,8-Sep-2025 9:00 pm (ACT Local Time) Show close time for other time zones,Targeted or Restricted Competitive,12-Aug-25,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",To be eligible you must be one of the invited organisations listed in section 4.1 of the Grant Opportunity Guidelines and have received an invitation to apply through GrantConnect.,"The Veteran Recognition of Prior Learning program comprises 3 separate grant opportunities over 3 years, from 2023–24 to 2025–26. The program was announced as part of the Veteran Employment Program in the October 2022–23 Budget under the ‘Veterans’ Wellbeing Package’. For this grant opportunity, the Australian Government is providing up to $250,000 (GST exclusive) during the 2025–26 financial year for the final round of the program. The purpose of the program is to support higher education providers, including Australian Universities, to recognise the skills and learning veterans gain from their Australian Defence Force service, and in so doing, support veterans to undertake tertiary education. This assistance is targeted at higher education providers to adapt and apply existing tertiary credit mapping frameworks (including those for micro-credentials), or to adapt, expand direct or assisted entry, or recognition of prior learning (RPL) pathways. The objectives of the program are to: enable a smoother entry to university for veterans who may require additional support to achieve a successful education outcome provide support to universities to enhance veteran RPL frameworks and support for veterans pursuing further study within tertiary institutions ensure RPL and support for veterans entering study at tertiary institutions are sustained beyond the grant funding period.",,,Department of Veterans' Affairs,2024-4314,By invitation only.,
GO7773,CARI TCR: Early-Onset Cancer 2025,231013 - Medical Research,,View Addenda,10-Sep-2025 5:00 pm (ACT Local Time) Show close time for other time zones,Targeted or Restricted Competitive,16-Jul-25,Minimum data is due 17.00 (ACT local time)) on 27 August 2025,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Applications will only be accepted from NHMRC approved Administering Institutions. A list of NHMRC approved Administering Institutions is available at: NHMRC’s Administering Institutions | NHMRC Applications must satisfy all the requirements set out in the Cancer Australia Research Initiative Targeted Call for Research: Early-Onset Cancer 2025 Guidelines.,"Cancer Australia has established the Cancer Australia Research Initiative (CARI), a new initiative designed to reflect the contemporary cancer research landscape and ensure alignment with the Australian Cancer Plan to fund cancer research in areas of unmet and emerging need. CARI is directed by Cancer Australia, jointly funded by NHMRC and designed in accordance with the NHMRC’s Targeted Calls for Research (TCR) model. CARI will be delivered annually as a series of one-time grant opportunities, commencing in 2025-26. Proposals will need to demonstrate translational potential, and build capacity in the cancer research workforce, including through opportunities for early to mid-career researchers. Early-Onset Cancers – Identified Priority Cancer Australia identified early-onset cancers (EOC) as a strategic priority due to its global rise and diverse tumour sub-types, requiring further research on environmental and genetic interactions. The first CARI TCR grant opportunity aims to: • Enhance understanding of EOC and develop novel clinical approaches for earlier diagnosis and innovative models of care to ensure effective management for those affected by EOC • Support programs that leverage existing, multidisciplinary, collaborative activities, and that are designed to link to enduring broader research initiatives, to inform policy and large scale, novel research for EOC in future. The first CARI TCR grant opportunity will be guided by strategic, long-term approaches to address the possible causes, pathogenesis, early recognition and diagnosis, as well as complexities of management and survivorship associated with EOC. Applications may focus on a single tumour sub-type or multiple tumour types. Proposals addressing cancers that have a greater burden of disease are encouraged.","Outcomes: Grants to be announced in June 2026, and the research output will be delivered for up to 3 years from commencement of the grant.",Cancer Australia,National Health and Medical Research Council (NHMRC),CARI TCR: Early-Onset Cancer 2025,Applications must be submitted electronically using Sapphire (unless otherwise advised by NHMRC).,"$7,000,000.00"
GO7839,,111003 - Farming,111002 - Business Development,,11-Sep-2025 9:00 pm (ACT Local Time) Show close time for other time zones,Closed Non-Competitive,14-Aug-25,"Before applying, you must read and understand the guidelines. For any questions, contact lspogrants@aff.gov.au. We will respond within two business days. Other Organisations Information required on other organisations: The roles/responsibilities of the partner organisation and the resources they will contribute (if any); Details of nominated management level contact officers; Evidence of having, or that you will have, a formal arrangement in place with the other organisations prior to any grant funding being provided to them; and How and why they were selected for engagement. Organisations will not be eligible to be part of this program if they are included on the: National Redress Scheme’s website on the list of ‘Institutions that have not joined or signified their intent to join the Scheme’; and/or Workplace Gender Equality Agency website on the non-compliant list.",,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","To be eligible to apply, you must be the organisation listed below and have received an invitation to apply. No further organisations will be invited to apply. WA Shearing Industry Association Inc (WASIA) (ABN 14 099 632 982)","The Australian Government is providing assistance for sheep producers and associated supply chain entities that have been affected by the cessation of live sheep exports by sea from 1 May 2028. The Shearing Industry Transition Program (the program) will run over 2 years from 2025-26 to 2026-27. The program was announced as part of the Phase Out of Live Sheep Exports by Sea – transition assistance. The proposal is to expand the remit of shearing contractors to facilitate a broader range of seasonally complementary agricultural and regional work for their employees – helping keep shearing teams and contractors employed locally year-round. The objectives of the program are: Widely available, expanded employment options for employees of shearing contractors who have been affected by the phase out of live sheep exports by sea through their existing employers, and within their existing communities. Sector specific training is available in regional areas impacted by the phase out of live sheep exports by sea The intended outcomes of the program are: Employees of shearing contractor businesses affected by the phase out of live sheep exports by sea have year-round work opportunities leading to high retention rates both within the industry and in regional towns. Shearing contractor businesses that have been affected by the phase out of live sheep exports by sea develop capabilities to manage business and Work Health and Safety risks as well as financial, business and people management. Employees of shearing contractor businesses affected by the phase out of live sheep exports by sea have the confidence, competence and training/certifications to safely undertake new work outside of shearing. Agricultural businesses make use of this new workforce.",Activity / Timeframe Assessment of applications / 1 week Approval of outcomes of selection process / 1 week Negotiations and award of grant agreements / 1-3 weeks Earliest start date project  / Upon execution of grant agreement End date of grant activity / 30 June 2027,,"Department of Agriculture, Fisheries and Forestry",,"You must be invited to apply. To apply, you must attach all documents listed in the grant opportunity guidelines: Application response document addressing the assessment criteria Project plan as attachment A Project budget as attachment B Risk management plan as Attachment C A signed letter of support from your organisation’s board, CEO or equivalent Trust Deed as Attachment D, if required. You must attach supporting documentation to the application form in line with the instructions provided within the form. You should only attach requested documents. We will not consider information in attachments that we do not request. Please submit your application and attachments to: lspogrants@aff.gov.au by the published closing time. We will acknowledge that we have received your application within two working days.","$2,420,000.00"
GO7834,REAL2025,251004 - Indigenous Employment and Business,,View Addenda,15-Sep-2025 9:00 pm (ACT Local Time) Show close time for other time zones,Open Competitive,19-Aug-25,"Please use: Reconnection, Employment and Learning (REAL) Program Phase 1 - Questions and Answers - version 3. Please note, an error was made with the eligible locations on the GrantConnect landing page. All states and territories except South Australia (SA) are eligible to apply.",,"ACT, NSW, VIC, WA, QLD, NT, TAS","To be eligible, you must be one of the following entity types: Company Cooperative Corporate Commonwealth Entity Corporate State or Territory Entity Incorporated Association Indigenous Corporation Local Government Non-corporate Commonwealth Statutory Authority Non-corporate State or Territory Entity Non-corporate State or Territory Statutory Authority Partnership Sole Trader Statutory Entity If you are applying as a Trustee on behalf of a Trust , the Trustee must be one of the eligible entity type as listed above. Further information on entity types is available on the Community Grants Hub webpage.","The Australian Government is inviting organisations via an open process to apply to deliver services under Program 1.1 Employment Services from January 2026 to 30 June 2030. In the 2024–25 Budget, the Australian Government committed $76.2 million over 5 years to improve the economic security of First Nations people transitioning out of the justice system and reestablishing themselves in the community. The REAL Program builds on the Time to Work Employment Service and will aim to improve outcomes for First Nations people exiting the justice system by providing support to reestablish themselves in the community. The REAL Program offers pre-release, and post-release supports to help people to reintegrate into their communities and engage with employment, education and training. The REAL Program responds to extensive consultation with First Nations organisations, communities and evidence on how to improve support in the transition from the justice system to employment. The purpose of the grant opportunity is to provide funding to organisations to deliver the REAL Program at specified locations. The REAL Program grant opportunity will offer 6 months pre-release and 12 months post-release personalised mentoring and support. It will help people transition from incarceration into the community by reconnecting with health, housing and other social services, and building better connections to employment, education and training opportunities. In addition, the Program will facilitate connection to culture, Country and language, where appropriate. After 12 months of post-release support, participants will be supported to transition to the most appropriate employment service provider (including Workforce Australia and the new Remote Australia Employment Service) if they are still unemployed after this time.",Assessment of applications - Mid October 2025 Approval of outcomes of selection process - November 2025 Notification to applicants - Late November 2025 Negotiations and award of grant agreements - Late December 2025 Earliest start date of grant activity - January 2026 End date of grant activity - 30 June 2030.,,Department of Employment and Workplace Relations,2025-4472,To apply you must: complete the online application form on GrantConnect provide all the information requested address all eligibility criteria and assessment criteria include all necessary attachments submit your application to the Community Grants Hub by 9:00 pm AEST on 15 September 2025.,
GO7803,ID26R1,"381001 - Science, Technology, Engineering and Mathematics (STEM) Research","381002 - Humanities, Arts and Social Sciences (HASS) Research",,18-Sep-2025 5:00 pm (ACT Local Time) Show close time for other time zones,Targeted or Restricted Competitive,20-Aug-25,"The ONI RMS portal of the ARC’s Research Management System (RMS) is a web-based system used to prepare and submit research proposals and assessments for the Australian Research Council (ARC) on behalf of the Office of National Intelligence (ONI). Registered users can login using their email address and password at rmsoni.researchgrants.gov.au To request a new account, go to rmsoni.researchgrants.gov.au and click on the Request New Account link.","From $400,000.00 to $800,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS","An EOI application may only be submitted through the Research Office of an Eligible Organisation listed in the relevant grant guidelines. Individuals named in an EOI application must satisfy the eligibility criteria for the role they are to perform as at the Commencement Date and for the duration of the Project. EOI applications under this grant opportunity must have: One Chief Investigator (CI) One Eligible Organisation (that is the Administering Organisation). Roles that named participants may be nominated for under EIID26 are: Chief Investigator. Applications must nominate the following named participants to be eligible: One eligible CI from the Administering Organisation. Chief Investigators must be Australian citizens, Australian permanent residents or holders of a New Zealand Special Category Visa.","The Australian Research Council (ARC), on behalf of the Office of National Intelligence (ONI), is conducting an Expression of Interest (EOI) grant opportunity for the National Intelligence Discovery Grants (NIDG) program. The NIDG Program supports excellent innovative research that deepens understanding of emerging science and technology that addresses intelligence and national security interests. The grant program will facilitate innovation and develop national security and intelligence capacity. It will also enable Australia’s National Intelligence Community (NIC) to systematically engage with Australia’s research and technology community. The NIDG Program - Intelligence Challenges EOI Grant Opportunity provides support to research that aligns with the priority research areas identified by the Australian Government. These research areas are outlined in the Intelligence Challenges developed under the National Security Science and Technology Priorities. The objectives of the NIDG Grant Opportunity are to: support excellent fundamental research (discovery, basic or blue-sky research) in areas identified in the Intelligence Challenges build Australia’s research capacity and capability in these areas by supporting researchers, fostering research trainees, and contributing to a greater body of open source research enhance collaboration in the research, science and technology community that supports Australia’s National Intelligence Community support systematic and coordinated engagement between the research, science and technology community and Australia’s National Intelligence Community.",Funding may be sought for up to 3 years.,,Office of National Intelligence,EIID26,"The EOI application must be submitted as a mature research plan presenting the proposed Project ready for implementation and must contain all the information necessary for its assessment without the need for further written or oral explanation, or reference to additional documentation, unless requested by the ONI. Administering Organisations must submit applications through the specific ONI RMS portal. All applications must meet the format and content requirements, including certification, as set out in the application form and the Instructions to Applicants.","$8,000,000.00"
GO7760,,131002 - Education Support,,View Addenda,19-Sep-2025 5:00 pm (ACT Local Time) Show close time for other time zones,Demand Driven,4-Jul-25,,"From $1,552.00 to $1,552.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS","Only ECEC services currently approved for and receiving the Childcare Subsidy (CCS) under Family Assistance Law, including long day care, family day care, in-home care, centre-based day care and outside school hours care services, are eligible and can apply for their employees. To be eligible for a grant the employee must: ·          be undertaking their practicum exchange in a regional, remote or very remote location other than their home location ·          be currently employed by the Provider and work at least 40 hours in the Service in a 3-month period ·          have used the Practicum Exchange website to be matched to a service for their practicum period. The Provider must not be receiving any funding from another source for the same practicum exchange activity.","The purpose of the grant is to provide support to ECEC students (through their provider) already working in the ECEC sector with a living and travel allowance (for up to four weeks) to assist them complete a practicum placement away from their home location. Funding is not designed to fully cover the exact cost of a student’s travel and living expenses whilst on their practicum exchange. Only CCS approved services, including long day care, family day care, in-home care, centre-based day care and outside school hours care services are eligible for this grant. The grant is targeted to services who have employees that will provide education and care as part of their practicum exchange in one of the following remoteness categories: ·         Inner regional Australia ·         Outer regional Australia ·         Remote Australia Very remote Australia",,,Department of Education,,Please prepare and submit your application online at www.secure-portal.com.au/ececgrants There are step by step instructions to assist approved Providers to navigate the application process. Enquiries can be emailed through to ececgrants@deloitte.com.au or you can contact the Helpdesk on (03) 9917 7865 from 9am – 5pm AEST Monday to Friday (while applications are open).,
GO7762,,131002 - Education Support,,View Addenda,19-Sep-2025 5:00 pm (ACT Local Time) Show close time for other time zones,Demand Driven,4-Jul-25,,"From $272.00 to $1,203.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS","Only ECEC services currently approved for and receiving the Childcare Subsidy (CCS) under Family Assistance Law, including long day care, family day care, in-home care, centre-based day care and outside school hours care services, are eligible and can apply for their employees. To be eligible for a grant the employee must: • an Australian citizen or permanent resident of Australia or hold a valid work visa (including student visa) allowing employment in the ECEC sector; • a contact worker - an educator who is part of the adult to child ratio at a Service or who provides direct early childhood education and care, or supervision for children in other care types, such as In Home Care or Family Day Care; • a non-contact worker – a Director or Educational Leader who provides direct support, early childhood education and care, or supervision for children; and • a full-time, part-time, or casual employee who has worked more than 40 hours overall in the preceding three months with that Service The Provider must not be: • a stand-alone kindergarten service • a stand-alone pre-school service • an individual a registered training organisation or other entity that is seeking to use the grant funding to provide courses NOTE: Eligibility Continued in field below...","The purpose of the Professional Development grant is to provide support to ECEC educators, early childhood teachers and directors to undertake professional development for one day. The purpose of the Paid Practicum grant is to provide a wage subsidy to give ECEC Employees paid leave while they are undertaking their paid practicum.","NOTE: Continuation of Eligibility... The Provider must not be: • an organisation, or your project partner is an organisation, included on the National Redress Scheme’s website • an entity which has any outstanding invoices for previous Professional Development or Paid Practicum grant funding • an entity that is already receiving any funding for wage replacement or backfill for the same professional development activity for the same ECEC Employee from an Australian state or territory government • an entity that is seeking a Professional Development Grant for an ECEC Employee where grant funding has already been received for a professional development activity for the same ECEC Employee in 2024-25 • an entity that is already receiving the maximum amount of funding (i.e. 8 weeks) for a paid practicum for the same ECEC Employee for the same period from the Commonwealth or a state or territory government",,Department of Education,,Please prepare and submit your application online at www.secure-portal.com.au/ececgrants There are step by step instructions to assist approved Providers to navigate the application process. Enquiries can be emailed through to ececgrants@deloitte.com.au or you can contact the Helpdesk on (03) 9917 7865 from 9am – 5pm AEDT Monday to Friday (while applications are open),
