title,field_summary,grant_is_ongoing,grant_audience,url,status,subtype,grant_amount,grant_amount_min,grant_amount_max,grant_fund,grant_date_range,grant_amount_text
['Natural Disaster Donated Fodder Transport Subsidy'],"['This scheme provides funding assistance to organisations that donate and transport donated fodder to a central location within NSW for the benefit of three or more primary producers with livestock, in the event of a declared natural disaster.']",[True],['Business'],['/grants-and-funding/natural-disaster-donated-fodder-transport-subsidy'],[True],['grant'],['range'],[1],[2],['Natural Disaster Transport Subsidy'],[{'startDate': '20/03/2022'}],"['Covers transport costs up to 1,500 km']"
['Living Away From Home Allowance Program'],['Provides assistance to eligible NSW families whose children must board away from home to access secondary education.'],[True],['Individual'],['/grants-and-funding/living-away-from-home-allowance-program'],[True],['grant'],['range'],[2],[2720],,[{'startDate': '01/07/2022'}],
['High emitting industries grants  '],"['Funding is available to help high-emitting manufacturing and mining facilities in NSW develop and deploy decarbonisation projects, from feasibility studies through to commissioning.']",[True],['Business'],['/grants-and-funding/high-emitting-industries-grants'],[True],['grant'],['up-to'],,[305000000],,[{'startDate': '25/10/2022'}],
['Drought Ready and Resilient Fund'],"['Low interest loans of up to $250,000 are available to primary producers in NSW to fund a broad range of products, activities and services aimed at improving drought preparedness and climate variability resilience.']",[True],"['Business', 'Individual']",['/grants-and-funding/drrf'],[True],['grant'],['up-to'],,[250000],,[{'startDate': '01/12/2023'}],
['NSW East Coast Severe Weather grants'],"['Grant and financial support for individuals, businesses and primary producers, non-profits and non-government organisations impacted by the NSW East Coast Severe Weather from 18 May 2025 (AGRN 1212).']",[True],"['Business', 'Individual', 'Local Government', 'Not-for-profit']",['/grants-and-funding/nsw-east-coast-severe-weather-grants'],[True],['grant'],['from'],[1],,,[{'startDate': '18/05/2025'}],['Amount dependent on type of grant being applied for.']
['Motor vehicle duty relief'],"['If your motor vehicle was destroyed in a declared natural disaster, the NSW government may be able to refund any motor vehicle duty you pay on a replacement vehicle.']",[True],"['Business', 'Individual', 'Local Government', 'Not-for-profit']",['/grants-and-funding/motor-vehicle-duty-relief'],[True],['grant'],['up-to'],,[1000],,[{'startDate': '30/07/2025'}],['Amount based on motor vehicle value']
['Cancer Quality Improvement Collaboration Grant'],['This grant funding supports opportunities for quality improvement activities within Aboriginal Medical Services to contribute to a cancer system that is responsive to the needs of Aboriginal people.'],[True],['Not-for-profit'],['/grants-and-funding/cancer-quality-improvement-collaboration-grant'],[True],['grant'],['single-figure'],,,,[{'startDate': '01/03/2025'}],
['Natural Disaster Relief Loan - Non-profit Organisations'],"['Non-profit organisations directly affected by a declared natural disaster may be eligible for a low interest loan of up to $25,000 to support recovery.']",[True],['Not-for-profit'],['/grants-and-funding/natural-disaster-relief-loan-non-profit-organisations'],[True],['grant'],['up-to'],,[25000],,[{'startDate': '01/07/2021'}],
['Energy Accounts Payment Assistance scheme'],"[""If you're having difficulty paying your current household energy bill because of a short-term financial crisis or emergency, such as unexpected medical bills, or reduced income due to COVID-19, you could be eligible for EAPA $50 vouchers.""]",[True],['Individual'],['/grants-and-funding/energy-accounts-payment-assistance-scheme'],[True],['grant'],['from'],[50],,,[{'startDate': '01/04/2022'}],
[' Off-farm Efficiency Program '],['The program provides funding to upgrade water infrastructure to reduce water losses and return water to the environment.'],[True],"['Business', 'Individual', 'Local Government']",['/grants-and-funding/off-farm-efficiency-program'],[True],['grant'],['range'],[1],[2],,[{'startDate': '01/08/2022'}],['Grant amount varies per project']
['Conservation Partners Grants'],['These grants provide financial assistance for landholders managing conservation agreement areas to improve the biodiversity value of their properties.'],[True],['Individual'],['/grants-and-funding/conservation-partners-grants'],[True],['grant'],['range'],[2000],[15000],,[{'startDate': '15/04/2018'}],
"['$1,000 SafeWork small business rebate ']","['Get up to $1,000 towards the cost of workplace health and safety items.']",[True],['Business'],['/grants-and-funding/1000-safework-small-business-rebate'],[True],['grant'],['up-to'],,[1000],,[{'startDate': '01/10/2018'}],
['Natural Disaster Relief Loan - Primary Producers'],"['Primary producers directly affected by a declared natural disaster may be eligible for a low interest loan of up to $130,000 to support recovery.']",[True],"['Business', 'Individual']",['/grants-and-funding/natural-disaster-relief-loan-primary-producers'],[True],['grant'],['up-to'],,[130000],['Disaster Recovery Loans'],[{'startDate': '01/07/2021'}],
['Research Grants'],"['Funding for a range of research projects to build the evidence base for responsible gambling policy, interventions and programs.']",[True],['Business'],['/grants-and-funding/research-grants'],[True],['grant'],['up-to'],,[200000],['Responsible Gambling Fund'],[{'startDate': '01/01/2019'}],
['Boarding Scholarships for Isolated Students '],"['Funding to assist eligible students from rural areas who are required to board to attend NSW public high schools, including\xa0agricultural boarding schools.']",[True],['Individual'],['/grants-and-funding/boarding-scholarships-for-isolated-students'],[True],['grant'],['single-figure'],,,,[{'startDate': '01/07/2022'}],
['Natural Disaster Relief Loan - Small Businesses'],"['Small business operators directly affected by a declared natural disaster may be eligible for a low interest loan of up to $130,000 to support recovery.']",[True],['Business'],['/grants-and-funding/natural-disaster-relief-loan-small-businesses'],[True],['grant'],['up-to'],,[130000],,[{'startDate': '01/07/2021'}],
['Food Rescue Rebates'],['These rebates help reduce good quality food from being sent to landfill in NSW by supporting not-for-profit organisations to purchase eligible items that safely manage increased amounts of rescued food.'],[True],['Not-for-profit'],['/grants-and-funding/food-rescue-rebates-0'],[True],['grant'],['up-to'],,[2000],,[{'startDate': '18/03/2024'}],
['Disaster Relief Grants'],['These grants support those most in need and those least able to return their homes to a safe and habitable condition after a natural disaster such as low-income earners and where the damage is not covered by insurance.'],[True],['Individual'],['/grants-and-funding/disaster-relief-grants'],[True],['grant'],['up-to'],,[75000],,[{'startDate': '31/08/2019'}],['Funding for this grant is dependent on need and eligibility.']
['Natural Disaster Relief Loan - Sporting and Recreation Clubs and Associations'],"['Sporting and recreation clubs and associations directly affected by a declared natural disaster may be eligible for a low interest loan of up to $10,000 to support recovery.']",[True],['Not-for-profit'],['/grants-and-funding/natural-disaster-relief-loan-sporting-and-recreation-clubs-and-associations'],[True],['grant'],['up-to'],,[10000],,[{'startDate': '01/07/2021'}],
['First Home Buyer Assistance scheme'],"['If you’re a first home buyer you may be entitled to a concessional rate of transfer duty or even an exemption from paying it altogether. This applies to buying an existing home, a new home or vacant land on which you intend to build a home.']",[True],['Individual'],['/grants-and-funding/first-home-buyer-assistance-scheme'],[True],['grant'],['up-to'],,[800000],,[{'startDate': '01/08/2021'}],['Amount based on the home or land value']
['Local Government Road Safety Program'],['This program provides up to 50% funding contribution to the salary of a Road Safety Officer and funding for local road safety projects.'],[True],['Local Government'],['/grants-and-funding/local-government-road-safety-program'],[True],['grant'],['range'],[1000],[10000],,[{'startDate': '01/07/2021'}],
['M5 South-West Cashback Scheme'],"['This scheme allows NSW residents to claim back the value of tolls (excluding GST) paid while using a vehicle registered in NSW for private, pensioner or charitable use on the M5 South-West Motorway.']",[True],['Individual'],['/grants-and-funding/m5-south-west-cashback-scheme'],[True],['grant'],['range'],[1],[2],,[{'startDate': '01/01/2020'}],['Value of tolls (excluding GST) paid']
['Emergency relief for regional town water supplies program'],['The program provides grants to local water utilities towards the cost of water carting or water supply works during periods of emergency.'],[True],['Local Government'],['/grants-and-funding/emergency-relief-for-regional-town-water-supplies-program'],[True],['grant'],['range'],[1],[2],,[{'startDate': '01/08/2022'}],['Grant amount varies per project']
['Natural Disaster Transport Subsidy'],"['The subsidy is available to eligible primary producers for the transport of fodder and/or water to a property, stock to/from agistment, stock to sale or slaughter, or bee or oyster movements following a declared natural disaster.']",[True],"['Business', 'Individual']",['/grants-and-funding/natural-disaster-transport-subsidy'],[True],['grant'],['up-to'],,[15000],,[{'startDate': '01/01/2022'}],
['Marine Estate Management Strategy Reconnecting Fish Habitats'],['This program provides funding from the NSW Marine Estate Management Strategy to projects that improve habitat connectivity for fish in coastal waterways of NSW.'],[True],"['Business', 'Individual', 'Local Government']",['/grants-and-funding/reconnecting-fish-habitats'],[True],['grant'],['up-to'],,[1000000],,[{'startDate': '01/07/2022'}],
['First Home Owner (New Homes) Grant'],"['This grant is available\xa0when you buy or build your first new home. Your first new home can be a house, townhouse, apartment, unit or similar that is newly built, purchased off the plan or substantially renovated.']",[True],['Individual'],['/grants-and-funding/first-home-owner-new-homes-grant'],[True],['grant'],['up-to'],,[10000],,[{'startDate': '01/07/2021'}],
['Seniors Energy Rebate'],['The NSW Seniors Energy Rebate is available for eligible independent self-funded retirees to help cover the cost of their electricity. Gas accounts are not included.'],[True],['Individual'],['/grants-and-funding/seniors-energy-rebate'],[True],['grant'],['up-to'],,[200],,[{'startDate': '30/04/2022'}],
